Year and Quarter,Topic,Topic Subgroup,Indicator,Race Ethnicity Category,Rate,Unit,Significant
2023 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.70,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,15.70,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,14.00,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.60,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.10,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.20,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.50,"per 1,000 population",
2023 Q3,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.90,"per 1,000 population",
2023 Q3,Birth Rates,General Fertility Rates,15-44 years,All races and origins,54.90,"per 1,000 population",
2023 Q3,Birth Rates,General Fertility Rates,15-44 years,Hispanic,65.20,"per 1,000 population",
2023 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,54.40,"per 1,000 population",
2023 Q3,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,52.00,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.60,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.50,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.00,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.00,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,25.20,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,40.00,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,36.50,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,17.20,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,13.40,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,21.30,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,19.70,"per 1,000 population",
2023 Q3,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,8.70,"per 1,000 population",
2023 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.60,per 100 births,
2023 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.95,per 100 births,
2023 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.83,per 100 births,
2023 Q3,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,7.05,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.76,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.62,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.88,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.26,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.66,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.53,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.79,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.18,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.42,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.15,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.67,per 100 births,
2023 Q3,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.45,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,29.74,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,30.34,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,33.30,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,28.20,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,54.98,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.08,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,48.34,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,56.79,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.87,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.44,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.70,per 100 births,
2023 Q3,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.57,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.30,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.90,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.90,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,31.20,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.60,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.90,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.80,per 100 births,
2023 Q3,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.50,per 100 births,
2023 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,15.00,per 100 births,
2023 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,14.60,per 100 births,
2023 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,14.90,per 100 births,
2023 Q3,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,15.10,per 100 births,
2023 Q3,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.70,per 100 births,
2023 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.80,per 100 births,
2023 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.20,per 100 births,
2023 Q3,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.30,per 100 births,
2023 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.60,per 100 births,
2023 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,59.00,per 100 births,
2023 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.60,per 100 births,
2023 Q3,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,27.70,per 100 births,
2023 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,13.60,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.40,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.20,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,8.90,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,56.90,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,78.90,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,69.60,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,47.70,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,93.00,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,113.60,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,89.10,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.90,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,96.40,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,102.30,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,78.70,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,99.30,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,55.10,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,59.70,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,50.60,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,52.70,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.70,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,15.80,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,14.00,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.60,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.10,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.20,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.40,"per 1,000 population",
2023 Q2,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.90,"per 1,000 population",
2023 Q2,Birth Rates,General Fertility Rates,15-44 years,All races and origins,55.50,"per 1,000 population",
2023 Q2,Birth Rates,General Fertility Rates,15-44 years,Hispanic,65.60,"per 1,000 population",
2023 Q2,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,55.30,"per 1,000 population",
2023 Q2,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,52.60,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.60,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.50,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.20,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.10,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,25.60,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,40.20,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,37.30,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,17.60,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,13.60,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,21.40,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic Black,20.20,"per 1,000 population",
2023 Q2,Birth Rates,Teen Birth Rates,15-19 years,Non-Hispanic White,8.90,"per 1,000 population",
2023 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",All races and origins,8.57,per 100 births,
2023 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Hispanic,7.87,per 100 births,
2023 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic Black,14.73,per 100 births,
2023 Q2,Birthweight,Low Birthweight Rates,"Low birthweight (Less than 2,500g)",Non-Hispanic White,7.07,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),All races and origins,2.75,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Hispanic,2.60,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic Black,4.87,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Early preterm (<34 weeks),Non-Hispanic White,2.26,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),All races and origins,7.62,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Hispanic,7.47,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic Black,9.71,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Late preterm (34-36 weeks),Non-Hispanic White,7.16,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),All races and origins,10.37,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Hispanic,10.06,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic Black,14.58,per 100 births,
2023 Q2,Gestational Age,Preterm Birth Rates,Total preterm (<37 weeks),Non-Hispanic White,9.43,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),All races and origins,29.57,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Hispanic,30.17,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic Black,33.00,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Early term (37-38 weeks),Non-Hispanic White,28.03,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),All races and origins,55.12,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Hispanic,55.21,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic Black,48.63,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Full term (39-40 weeks),Non-Hispanic White,56.93,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),All races and origins,4.95,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Hispanic,4.56,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic Black,3.79,per 100 births,
2023 Q2,Gestational Age,Term Birth Rates,Late term (41 weeks),Non-Hispanic White,5.61,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,All races and origins,32.20,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Hispanic,31.80,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic Black,36.80,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Cesarean,Non-Hispanic White,31.10,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,All races and origins,26.50,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Hispanic,25.80,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic Black,30.70,per 100 births,
2023 Q2,Method of Delivery,Cesarean Delivery Rates,Low-risk Cesarean,Non-Hispanic White,25.50,per 100 births,
2023 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,All races and origins,14.90,per 100 births,
2023 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Hispanic,14.50,per 100 births,
2023 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic Black,14.70,per 100 births,
2023 Q2,Method of Delivery,Vaginal Birth After Cesarean Delivery Rates,Vaginal Birth After Cesarean Delivery,Non-Hispanic White,15.00,per 100 births,
2023 Q2,NICU Admission,NICU Admission Rates,NICU Admission,All races and origins,9.60,per 100 births,
2023 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Hispanic,8.70,per 100 births,
2023 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic Black,13.00,per 100 births,
2023 Q2,NICU Admission,NICU Admission Rates,NICU Admission,Non-Hispanic White,9.20,per 100 births,
2023 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,All races and origins,41.70,per 100 births,
2023 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Hispanic,59.00,per 100 births,
2023 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic Black,64.60,per 100 births,
2023 Q2,Source of Payment for the Delivery,Medicaid,Medicaid,Non-Hispanic White,27.90,per 100 births,
2023 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,All races and origins,13.50,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Hispanic,21.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic Black,20.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,15-19 years,Non-Hispanic White,9.00,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,All races and origins,60.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Hispanic,83.60,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic Black,74.10,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,20-24 years,Non-Hispanic White,50.30,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,All races and origins,93.60,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Hispanic,114.30,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic Black,90.30,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,25-29 years,Non-Hispanic White,90.80,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,All races and origins,96.60,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Hispanic,102.80,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic Black,79.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,30-34 years,Non-Hispanic White,98.80,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,All races and origins,54.90,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Hispanic,59.50,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic Black,50.40,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,35-39 years,Non-Hispanic White,52.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,All races and origins,12.50,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Hispanic,15.50,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic Black,13.80,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,40-44 years,Non-Hispanic White,10.60,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,45+ years,All races and origins,1.10,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Hispanic,1.20,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic Black,1.40,"per 1,000 population",
2023 Q1,Birth Rates,Age-specific Birth Rates,45+ years,Non-Hispanic White,0.90,"per 1,000 population",
2023 Q1,Birth Rates,General Fertility Rates,15-44 years,All races and origins,56.00,"per 1,000 population",
2023 Q1,Birth Rates,General Fertility Rates,15-44 years,Hispanic,66.20,"per 1,000 population",
2023 Q1,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic Black,56.10,"per 1,000 population",
2023 Q1,Birth Rates,General Fertility Rates,15-44 years,Non-Hispanic White,52.80,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,10-14 years,All races and origins,0.20,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,10-14 years,Hispanic,0.30,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic Black,0.40,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,10-14 years,Non-Hispanic White,0.10,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,15-17 years,All races and origins,5.60,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,15-17 years,Hispanic,9.30,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic Black,9.00,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,15-17 years,Non-Hispanic White,3.10,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,18-19 years,All races and origins,25.60,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,18-19 years,Hispanic,40.10,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic Black,37.50,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,18-19 years,Non-Hispanic White,17.60,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,15-19 years,All races and origins,13.50,"per 1,000 population",
2023 Q1,Birth Rates,Teen Birth Rates,15-19 years,Hispanic,21.20,"per 1,000 population",
